ID,PSET,ALT_PRONOUNCE,PRONOUN,VERB,GENDER,SYLLABARY,PRONOUNCE,ENGLISH,INTRO NOTE,END NOTE
,,Yù:dawó:ɂé:na à:liyê:su:stgí:sgó.,,,,ᏳᏓᏬᎡᎾ ᎠᎵᏰᏑᏍᏘᎩᏍᎪᎢ.,Yù:dawó:ɂé:na à:liyê:su:stgí:sgó:ɂi.,"When he goes swimming, he takes his ring off.",,
,,,,,,ᎯᏯᏛᏛᎲᎦ ᏂᏗᏛᏁᎵᏒᎢ.,Hi:yà:tv:dv:hv̀:ga nididv́:ne:lǐ:sv:ɂi.,Ask him what he's intending to do.,,
,,U:da:do:lì:sdóhdi à:jihtayóseɂlv̌.,,,,ᎤᏓᏙᎵᏍᏙᏗ ᎠᏥᏔᏲᏎᎸᎢ.,U:da:do:lì:sdóhdi à:jihtayóseɂlv̌:ɂi.,He was asked to pray.,,
,,Di:hlino:hehdi̋ degálino:hě:sgv̌:ɂi.; Di:hlino:hehdi̋ degálino:hě:sgv̌.,,,,ᏗᏟᏃᎮᏗ ᏕᎦᎵᏃᎮᏍᎬᎢ.,Di:hlino:hehdi̋:ɂi degálino:hě:sgv̌:ɂi.,I was conversing on the phone.,,
,,,,,,ᎭᏓᏪᏐᎸᏍᏓ. ᏙᏔᏍᏔᏰᏎᎦ.,Hadawè:sǒ:lv́:sda. Do:tastaye:sé:ga.,Rest. You'll get exhausted.,,
,,,,,,ᏍᏆᎵᏍᎪᎸᏓᏏ ᎠᎩᏬᏂᎯᏍᏗᎢ.,Sgwalsgohldà:si à:giwò:nǐ:hísdi̋:ɂi.,Permit me to speak.,,
,,Julsihnv̋:das de:jalv̌:hwísdà:ne:hó:ɂi?; Julsihnv̋:das de:jalv̌:hwísdà:ne:hó?,,,,ᏧᎵᏏᏅᏓᏍ ᏕᏣᎸᏫᏍᏓᏁᎰᎢ?,Julsihnv̋:dasgo de:jalv̌:hwísdà:ne:hó:ɂi?,Do you work nightly?,,
,,U:nadǒ:dágwohnv̋ dà:nada:híɂlǐ:dô:hé:sdi.; U:dǒ:dágwohnv̋:ɂi dà:nada:híɂlǐ:dô:hé:sdi.; U:dǒ:dágwohnv̋ dà:nada:híɂlǐ:dô:hé:sdi.; Dǒ:dágwohnvɂi dà:nada:híɂlǐ:dô:hé:sdi.; Dǒ:dágwohnv̄ dà:nada:híɂlǐ:dô:hé:sdi.,,,,ᎤᎾᏙᏓᏉᏅ ᏓᎾᏓᎯᎵᏙᎮᏍᏗ.,U:nadǒ:dágwohnv̋:ɂi dà:nada:híɂlǐ:dô:hé:sdi.,They will be having a trial on Monday.,,
,,De:gálíyê:su:líɂa do:dv:gilv̌:hwísdà:ne:lihno.,,,,ᏕᎦᎵᏰᏑᎵ ᏙᏛᎩᎸᏫᏍᏓᏁᎵᎮᏃ,De:gálíyê:su:líɂa do:dv:gilv̌:hwísdà:ne:lihě:hno.,I am putting on gloves because I will be working.,,
,,Dala:la ù:ní:yv:hv̌ wě:sa,,,,ᏓᎳᎳ ᎤᏂᏴᎲ ᏪᏌ.,Dala:la ù:ní:yv:hv̌:ɂi wě:sa,A cat caught a woodpecker.,,
,,,,,,ᎯᎳ ᎢᎦ ᏧᎬᏩᎶᏗ?,Hila̋ ǐ:ga̋ ju:gv̌:wahldi?,How much does it cost?,,
